Course Name,Type_of_Program,Description,Goals,Location,Date Range,Duration,Start Date,End Date,Age Group,Questions,Answers,links,tools_and_languages,acquired_skills,job_titles
إدارة عمليات الحوسبة السحابية AWS,معسكر,يهدف المعسكر إلى إكساب المتدربين المهارات والمعرفة اللازمة لإدارة وتشغيل بنية السحابة باستخدام خدمات AWS لضمان تشغيل ومراقبة البنية التحتية بشكل فعال يقلل من حدوث المشاكل.,", تعلم كيفية استخدام الأدوات والخدمات المختلفة في أمازون لتكوين وتشغيل البيئات السحابية. , استخدام أدوات المراقبة والصيانة المقدمة من أمازون لضمان استمرارية وأداء عالي للخدمات والأنظمة., فهم وتطبيق أفضل الممارسات في عمليات السحابة والأمان., تحليل وحل المشاكل والتحديات التي قد تواجه المشغلين في بيئة أمازون , العمل بفعالية كمشرفين لنظام أمازون وتنفيذ مهام الإدارة اليومية",الرياض,4 أسابيع,04:00 م - 10:00 م,7/21/2024,8/15/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/5ejGzPmd/view,"AWS, Docker, Kubernetes","مهارة إدارة الخدمات السحابية, مهارة استخدام Docker وKubernetes, مهارة البرمجة باستخدام Python","مهندس عمليات السحابة (Cloud Operations Engineer), مسؤول النظام السحابي (Cloud Systems Administrator), مهندس بنية تحتية السحابية (Cloud Infrastructure Engineer)"
تطوير حلول الويب على AWS,معسكر,يهدف المعسكر إلى إكساب المتدربين مهارات التعامل البرمجي مع خدمات أمازون لبناء حلول الويب، كما يساعد البرنامج المتدربين في اختيار الخدمات المناسبة لتنفيذ الحلول ونشرها على السحابة باستخدام الـ SDKs و الـ CLI.,", تعليم المطورين كيفية التفاعل برمجيًا مع خدمات AWS لبناء حلول ويب, استخدام مجموعات تطوير البرمجيات (AWS SDKs) واستخدام واجهة سطر الأوامر (AWS CLI) في بناء ونشر التطبيقات البرمجية على السحابة., إتقان إعداد الصلاحيات والمصادقات لبيئات التطوير ومعالجة البيانات باستخدام خدمات AWS الأساسية., أمثلة عملية خلال المعسكر توضح كيفية استخدام وتنفيذ أنماط التصميم باستخدام مجموعات تطوير البرمجيات لـ AWS بلغات Python و .Net و Java، وواجهة سطر الأوامر لـ AWS ولوحة تحكم إدارة AWS ",الرياض,4 أسابيع,04:00 م - 10:00 م,7/21/2024,8/15/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/P5maknX4/view,"AWS, JavaScript, Node.js","مهارة تطوير تطبيقات الويب, مهارة استخدام AWS, مهارة البرمجة باستخدام JavaScript وNode.js","مطور ويب (Web Developer), مهندس حلول سحابية (Cloud Solutions Engineer), مطور سحابي (Cloud Developer)"
طويق للأمن السيبراني,معسكر,يمنح معسكر طويق السيبراني المتدربين فرصة فريدة لتحسين مهاراتهم وتطوير قدراتهم في مجال إدارة خوادم Linux والشبكات وتقييم الثغرات واختبار الاختراق والاستجابة للحوادث والتحقيق الجنائي الرقمي.,", تأهيل وصقل مهارات حديثي التخرج والباحثين عن العمل, الارتقاء بمهارات حديثي التخرج التقنية حسب المعايير العالمية, تعزيز الحصول على فرص وظيفية. ",الرياض,17 أسابيع,09:00 ص - 03:00 م,8/4/2024,11/28/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/1JeYqe5k/view,"Kali Linux, Metasploit, Wireshark","مهارة تحليل الأمن السيبراني, مهارة استخدام أدوات الأمن السيبراني, مهارة تنفيذ اختبارات الاختراق","محلل أمان المعلومات (Information Security Analyst), مهندس أمن سيبراني (Cybersecurity Engineer), مستشار أمن سيبراني (Cybersecurity Consultant)"
الأنظمة السحابية (Cloud +),برنامج,تهدف الدورة إلى تقديم معرفة شاملة بالأنظمة السحابية، وذلك من خلال الإلمام بالبيئة السحابية من مرحلة التخطيط إلى التصميم حتى البناء، والتعرف على الأساليب المتقدمة لمعالجة الأخطاء الفنية في البيئة التشغيلية السحابية؛ بالإضافة إلى الإعداد والمعرفة اللازمة لتجاوز اختبار الشهادة العالمية (CompTIA Cloud + Certification).,", إدراك المفاهيم السحابية مع المعرفة بأنماط تخطيط وتصميم وإدارة البيئة السحابية., الإلمام بطرق إدارة حفظ البيانات وإدارة الشبكات في الأنظمة السحابية., التعرف على الآليات في عمليات الانتقال السحابية، ومعالجة الأخطاء أثناء عملية بناء الأنظمة السحابية., القدرة على تأمين الأنظمة السحابية، بالتعرف على أحدث التقنيات الداعمة في أمن الحلول السحابية.",الرياض,أسبوعان,06:30 م - 10:30 م,8/4/2024,8/15/2024,كبار,", هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/wYd8Ddq4/view,"AWS, Azure, Google Cloud Platform (GCP)","مهارة إدارة وتكوين الخدمات السحابية, مهارة استخدام AWS, Azure, GCP, مهارة البرمجة باستخدام Python","مهندس سحابي (Cloud Engineer), مسؤول السحابة (Cloud Administrator), مهندس حلول سحابية (Cloud Solutions Engineer)"
إدارة عمليات الحوسبة السحابية AWS,معسكر,يهدف المعسكر إلى إكساب المتدربين المهارات والمعرفة اللازمة لإدارة وتشغيل بنية السحابة باستخدام خدمات AWS لضمان تشغيل ومراقبة البنية التحتية بشكل فعال يقلل من حدوث المشاكل.,", تعلم كيفية استخدام الأدوات والخدمات المختلفة في أمازون لتكوين وتشغيل البيئات السحابية. , استخدام أدوات المراقبة والصيانة المقدمة من أمازون لضمان استمرارية وأداء عالي للخدمات والأنظمة., فهم وتطبيق أفضل الممارسات في عمليات السحابة والأمان., تحليل وحل المشاكل والتحديات التي قد تواجه المشغلين في بيئة أمازون , العمل بفعالية كمشرفين لنظام أمازون وتنفيذ مهام الإدارة اليومية",الرياض,4 أسابيع,04:00 م - 10:00 م,8/18/2024,9/12/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/xGPXRKwV/view,"AWS, Docker, Kubernetes","مهارة إدارة الخدمات السحابية, مهارة استخدام Docker وKubernetes, مهارة البرمجة باستخدام Python","مهندس عمليات السحابة (Cloud Operations Engineer), مسؤول النظام السحابي (Cloud Systems Administrator), مهندس بنية تحتية السحابية (Cloud Infrastructure Engineer)"
تطوير حلول الويب على AWS,معسكر,يهدف البرنامج إلى إكساب المتدربين مهارات التعامل البرمجي مع خدمات أمازون لبناء حلول الويب، كما يساعد البرنامج المتدربين في اختيار الخدمات المناسبة لتنفيذ الحلول ونشرها على السحابة باستخدام الـ SDKs و الـ CLI.,", تعليم المطورين كيفية التفاعل برمجيًا مع خدمات AWS لبناء حلول ويب, استخدام مجموعات تطوير البرمجيات (AWS SDKs) واستخدام واجهة سطر الأوامر (AWS CLI) في بناء ونشر التطبيقات البرمجية على السحابة., إتقان إعداد الصلاحيات والمصادقات لبيئات التطوير ومعالجة البيانات باستخدام خدمات AWS الأساسية., أمثلة عملية خلال المعسكر توضح كيفية استخدام وتنفيذ أنماط التصميم باستخدام مجموعات تطوير البرمجيات لـ AWS بلغات Python و .Net و Java، وواجهة سطر الأوامر لـ AWS ولوحة تحكم إدارة AWS ",الرياض,4 أسابيع,04:00 م - 10:00 م,8/18/2024,9/12/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/J0DYZmAN/view,"AWS, JavaScript, Node.js","مهارة تطوير تطبيقات الويب, مهارة استخدام AWS, مهارة البرمجة باستخدام JavaScript وNode.js","مطور ويب (Web Developer), مهندس حلول سحابية (Cloud Solutions Engineer), مطور سحابي (Cloud Developer)"
هندسة عمليات التطوير DevOps على AWS,معسكر,"يهدف المعسكر إلى إكساب المتدربين مهارات تبسيط عملية التصميم ,التطوير، والنشر ثم المتابعة والصيانة للأنظمة البرمجية على أمازون باستخدام مفاهيم الـ DevOps؛ وينتج عن هذا الفهم تسريع وتيرة التحديثات البرمجية للأنظمة بما يحقق مصلحة المنظمة والعميل.",", بناء مسار CI/CD لدعم فريق التنفيذ البرمجي, تمكين المسار من النشر على خدمات الحوسبة المختلفة لدى أمازون,  التعرف على الاستراتيجيات المختلفة لنشر التحديثات البرمجية بما يضمن عدم تأثر البنية الحالية ومنفعة العملاء منها, التطبيق العملي للمفاهيم المذكورة لتعزيز التجربة التدريبية",الرياض,4 أسابيع,09:00 ص - 03:00 م,9/1/2024,9/26/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/7kp4GAB5/view,"AWS, Docker, Jenkins","مهارة تنفيذ عمليات DevOps, مهارة استخدام Docker وJenkins, مهارة إدارة البنية التحتية السحابية","مهندس DevOps (DevOps Engineer), مهندس بنية تحتية (Infrastructure Engineer), مهندس عمليات السحابة (Cloud Operations Engineer)"
هندسة الحلول السحابية المتقدمة AWS,معسكر,يهدف المعسكر إلى تنوير المتدربين بشأن كيفية التعامل مع تحديات بنيوية شائعة تواجه المنظمات التي تعمل على نطاق واسع بحسابات متعددة، يشمل التعامل مع هذه التحديات الاختيار المناسب للخدمات والمزايا التي تقدمها أمازون.,", تطوير مهارات وقدرات المتدربين في فهم متطلبات العملاء وترجمتها إلى حلول سحابية متقدمة على منصة أمازون. , إكساب المتدربين الخبرة والمعرفة اللازمة لتحليل وتصميم حلول سحابية متقدمة باستخدام خدمات أمازون., إدارة الحسابات المتعددة، التوصيل بين البنية التحتية السحابية والخارجية، الشبكات المتقدمة؛ خدمات الـ Containers وأدوات الأتمتة وتقنيات (CI/CD)., التعرف على خدمات تخزين ومعالجة البيانات الضخمة AWS Data Lakes, تطبيقات الأمان والأداء والموثوقية بالإضافة إلى استخدام أفضل الممارسات والتقنيات الحديثة في مجال الحوسبة السحابية., تصميم أفضل الحلول للعديد من السيناريوهات والتحديات",الرياض,4 أسابيع,04:00 م - 10:00 م,10/6/2024,10/31/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/jdKDMLZl/view,"AWS, Terraform, Ansible","مهارة تصميم حلول سحابية متقدمة, مهارة استخدام Terraform وAnsible, مهارة إدارة البنية التحتية السحابية","مهندس حلول سحابية متقدمة (Advanced Cloud Solutions Engineer), مهندس بنية تحتية السحابية (Cloud Infrastructure Engineer), مستشار حلول سحابية (Cloud Solutions Consultant)"
تطوير حلول الويب على AWS,معسكر,يهدف المعسكر إلى إكساب المتدربين مهارات التعامل البرمجي مع خدمات أمازون لبناء حلول الويب، كما يساعد البرنامج المتدربين في اختيار الخدمات المناسبة لتنفيذ الحلول ونشرها على السحابة باستخدام الـ SDKs و الـ CLI.,", تعليم المطورين كيفية التفاعل برمجيًا مع خدمات AWS لبناء حلول ويب, استخدام مجموعات تطوير البرمجيات (AWS SDKs) واستخدام واجهة سطر الأوامر (AWS CLI) في بناء ونشر التطبيقات البرمجية على السحابة., إتقان إعداد الصلاحيات والمصادقات لبيئات التطوير ومعالجة البيانات باستخدام خدمات AWS الأساسية., أمثلة عملية خلال المعسكر توضح كيفية استخدام وتنفيذ أنماط التصميم باستخدام مجموعات تطوير البرمجيات لـ AWS بلغات Python و .Net و Java، وواجهة سطر الأوامر لـ AWS ولوحة تحكم إدارة AWS ",الرياض,4 أسابيع,04:00 م - 10:00 م,10/13/2024,11/7/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/Z1l5AlN3/view,"AWS, JavaScript, Node.js","مهارة تطوير تطبيقات الويب, مهارة استخدام AWS, مهارة البرمجة باستخدام JavaScript وNode.js","مطور ويب (Web Developer), مهندس حلول سحابية (Cloud Solutions Engineer), مطور سحابي (Cloud Developer)"
هندسة الحلول السحابية المتقدمة AWS,معسكر,يهدف المعسكر إلى تنوير المتدربين بشأن كيفية التعامل مع تحديات بنيوية شائعة تواجه المنظمات التي تعمل على نطاق واسع بحسابات متعددة، يشمل التعامل مع هذه التحديات الاختيار المناسب للخدمات والمزايا التي تقدمها أمازون.,", تطوير مهارات وقدرات المتدربين في فهم متطلبات العملاء وترجمتها إلى حلول سحابية متقدمة على منصة أمازون. , إكساب المتدربين الخبرة والمعرفة اللازمة لتحليل وتصميم حلول سحابية متقدمة باستخدام خدمات أمازون., إدارة الحسابات المتعددة، التوصيل بين البنية التحتية السحابية والخارجية، الشبكات المتقدمة؛ خدمات الـ Containers وأدوات الأتمتة وتقنيات (CI/CD)., التعرف على خدمات تخزين ومعالجة البيانات الضخمة AWS Data Lakes, تطبيقات الأمان والأداء والموثوقية بالإضافة إلى استخدام أفضل الممارسات والتقنيات الحديثة في مجال الحوسبة السحابية., تصميم أفضل الحلول للعديد من السيناريوهات والتحديات",الرياض,4 أسابيع,04:00 م - 10:00 م,11/3/2024,11/28/2024,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/QNLPN8R3/view,"AWS, Terraform, Ansible","مهارة تصميم حلول سحابية متقدمة, مهارة استخدام Terraform وAnsible, مهارة إدارة البنية التحتية السحابية","مهندس حلول سحابية متقدمة (Advanced Cloud Solutions Engineer), مهندس بنية تحتية السحابية (Cloud Infrastructure Engineer), مستشار حلول سحابية (Cloud Solutions Consultant)"
إدارة عمليات الحوسبة السحابية AWS,معسكر,يهدف البرنامج إلى إكساب المتدربين المهارات والمعرفة اللازمة لإدارة وتشغيل بنية السحابة باستخدام خدمات AWS لضمان تشغيل ومراقبة البنية التحتية بشكل فعال يقلل من حدوث المشاكل.,", تعلم كيفية استخدام الأدوات والخدمات المختلفة في أمازون لتكوين وتشغيل البيئات السحابية. , استخدام أدوات المراقبة والصيانة المقدمة من أمازون لضمان استمرارية وأداء عالي للخدمات والأنظمة., فهم وتطبيق أفضل الممارسات في عمليات السحابة والأمان., تحليل وحل المشاكل والتحديات التي قد تواجه المشغلين في بيئة أمازون , العمل بفعالية كمشرفين لنظام أمازون وتنفيذ مهام الإدارة اليومية",الرياض,4 أسابيع,04:00 م - 10:00 م,11/3/2024,11/28/2024,كبار,", هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/3oKm1KZE/view,"AWS, Docker, Kubernetes","مهارة إدارة الخدمات السحابية, مهارة استخدام Docker وKubernetes, مهارة البرمجة باستخدام Python","مهندس عمليات السحابة (Cloud Operations Engineer), مسؤول النظام السحابي (Cloud Systems Administrator), مهندس بنية تحتية السحابية (Cloud Infrastructure Engineer)"
إدارة عمليات الحوسبة السحابية AWS,معسكر,يهدف المعسكر إلى إكساب المتدربين المهارات والمعرفة اللازمة لإدارة وتشغيل بنية السحابة باستخدام خدمات AWS لضمان تشغيل ومراقبة البنية التحتية بشكل فعال يقلل من حدوث المشاكل.,", تعلم كيفية استخدام الأدوات والخدمات المختلفة في أمازون لتكوين وتشغيل البيئات السحابية. , استخدام أدوات المراقبة والصيانة المقدمة من أمازون لضمان استمرارية وأداء عالي للخدمات والأنظمة., فهم وتطبيق أفضل الممارسات في عمليات السحابة والأمان., تحليل وحل المشاكل والتحديات التي قد تواجه المشغلين في بيئة أمازون , العمل بفعالية كمشرفين لنظام أمازون وتنفيذ مهام الإدارة اليومية",الرياض,4 أسابيع,04:00 م - 10:00 م,12/8/2024,1/2/2025,كبار,", هل يتوفر سكن لطلاب المعسكر؟, هل توجد شهادة بعد انتهاء المعسكر / البرنامج؟, هل يتم إشعاري بالقبول؟",", توجد خصومات خاصة لطلاب أكاديمية طويق في عدد من الفنادق والشقق., تقدم أكاديمية طويق معسكرات وبرامج بشهادات احترافية بالشراكة مع كبرى الجهات العالمية، بالإضافة إلى شهادات حضور لكافة المعسكرات والبرامج., يتم إشعارك بالقبول النهائي عبر البريد الإلكتروني قبل بدء المعسكر / البرنامج بفترة كافية.",https://tuwaiq.edu.sa/bootcamp/2RPAOKZv/view,"AWS, Docker, Kubernetes","مهارة إدارة الخدمات السحابية, مهارة استخدام Docker وKubernetes, مهارة البرمجة باستخدام Python","مهندس عمليات السحابة (Cloud Operations Engineer), مسؤول النظام السحابي (Cloud Systems Administrator), مهندس بنية تحتية السحابية (Cloud Infrastructure Engineer)"
