Course_Name,Course_Description,learning_goals,level,duration,Time,Exam,Project,Course_Content
مقدمة في المشاريع التقنية,سنتعرف في هذة الدورة على ماهية المشاريع التقنية ، من ثم عناصرها الى ان ننتقل لدورة حياة المشاريع التقنية وانوعها وختاما سنتعرف على العمليات والبرامج والمحافظ في المجال التقني,"ماهو المشروع وصفاته وأمثلة للمشاريع التقنية, ماهي عناصر المشروع وتطبيق عملي لفهمهم, دورات حياة المشاريع التقنية وانواعها, ماهي العمليات والبرامج والمحافظ في المجال التقني",مبتدئ,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"وصف الدورة,  ماهو المشروع ؟,  عناصر المشروع,  انواع دورة حياة المشاريع,  العمليات والبرنامج والمحفظة,  دراسة حالة مشروع"
تعلم الآلة (ML) - 101,يهدف الدورة للتعرف على مفهوم تعلم الآلة (Machine Learning)، وأنوعه وتطبيقاته، كما سيتم التعرف على مراحل بناء نماذج تعلم الآلة وما هي خوارزميات تعلم الآلة.,"أنواع خوارزميات تعلم الآلة., مراحل بناء نماذج تعلم الآلة., خوارزميات الانحدار (Regression Algorithms).",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروعان,"مقدمة عن تعلم الآلة,  خوارزميات الانحدار,  تطبيق عملي لخوارزميات الانحدار,  المشروع"
تحليل البيانات الاستكشافي (EDA),تهدف الدورة للتعرف على خطوات تحليل البيانات الاستكشافي (EDA - Exploratory Data Analysis) من عدة زوايا وعدة تحليلات والتي تساعد بدورها في فهم البيانات بشكل أكبر.,"التحليل الوصفي (Descriptive Analysis), تحليل متغير واحد (Univariate Analysis), تحليل متغيرين (Bivariate Analysis), تحليل عدة متغيرات (Multivariate Analysis)",متوسط,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروع واحد,"مقدمة عن EDA,  خطوات التحليل الاستكشافي,  تحليل متغير واحد (Univariate Analysis),  تحليل متغيرين (Bivariate Analysis),  تحليل عدة متغيرات (Multivariate Analysis),  المشروع"
تمثيل البيانات: مكتبة Seaborn,تهدف الدورة للتعرف على ما هي مكتبة Seaborn، وما هي أنواع الرسوم البيانية وتمثيل وتعديل خصائص البيانات باستخدام الرسوم البيانية التابعة لها،,"التعرف على مكتبة Seaborn., التعرف على أنواع الرسوم البيانية., التعرف على كيفية التعديل على خصائص الرسوم البيانية.",مبتدئ,ساعتان,120 دقيقة تدريبية,اختباران,مشروعان,"مقدمة عن مكتبة Seaborn,  أنواع الرسوم البيانية في مكتبة Seaborn,  المشروع"
تمثيل البيانات: مكتبة Matplotlib,تهدف الدورة للتعرف على كيفية تمثيل البيانات باستخدام الرسوم البيانية التابعة لمكتبة Matplotlib.,"التعرف على أنواع الرسوم البيانية., التعرف على كيفية التعديل على خصائص الرسوم البيانية., التعرف على كيفية إنشاء الرسوم البيانية على شكل Subplots.",متوسط,ساعتان,120 دقيقة تدريبية,7  اختبارات,مشروعان,"مقدمة عن مكتبة Matplotlib,  Histogram Charts,  Line Charts,  Bar Charts,  Pie Charts,  Scatter Charts,  إنشاء Subplots و حفظ الرسوم البيانية,  المشروع"
تحليل ومعالجة البيانات: مكتبة Pandas,في هذه الدورة سنتعرف على مكتبة Pandas التي تساعدنا على التعامل مع البيانات ومعالجتها وتحليلها,"كيفية إنشاء إطار بيانات وتنفيذ العمليات عليه, الوصول للبيانات واسترجاعها, تطبيق أهم الدوال على البيانات",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروعان,"مقدمة عن دورة Pandas,  مقدمة في Series,  مقدمة في DataFrame,  استرجاع البيانات,  تطبيق العمليات على البيانات,  المشروع"
JAVA 104,تهدف الدورة  لتطبيق ما تم التعرف عليه في الدورات السابقة في مشروع برمجي بلغة JAVA.,"تطبيق المفاهيم الأساسية للغة JAVA, التعرف على الترتيب الصحيح لبناء مشروع بلغة JAVA, تطبيق بعض مفاهيم البرمجة الكائنية بلغة JAVA",متقدم,3  ساعات,180 دقيقة تدريبية,no,no,"تعريف بالدورة,  الجزء الأول,  الجزء الثاني,  الجزء الثالث"
JAVA 103,تهدف الدورة للتعرف على بعض المفاهيم التي تتعلق بالبرمجة كائنية التوجه OOP وآلية تطبيقها في لغة Java.,"التعرف على بعض المفاهيم التي تتعلق بالبرمجة كائنية التوجه في JAVA, التطبيق على مفهوم Encapsulation في JAVA, التطبيق على مفهوم Inheritance في JAVA, التطبيق على مفهوم Polymorphism في JAVA, التطبيق على مفهوم Abstraction في JAVA",متقدم,ساعتان,120 دقيقة تدريبية,5  اختبارات,11  مشروع,"مقدمة في البرمجة كائنية التوجه في JAVA,  Inheritance في JAVA,  Encapsulation في JAVA,  Polymorphism في JAVA,  Abstraction في JAVA,  مشروع برمجي"
JAVA 102,تهدف الدورة للتعرف على تطبيق المصفوفات والدوال، وكيفية عمل التكرار والاستثناءات في لغة JAVA.,"التطبيق على المصفوفات وعملياتها باستخدام لغة JAVA, التطبيق على الدوال باستخدام لغة JAVA, التطبيق على عمليات التكرار باستخدام لغة JAVA, التعرف على الاستثناءات في لغة JAVA وطريقة التعامل معها",متوسط,ساعتان,120 دقيقة تدريبية,4  اختبارات,no,"المصفوفات في لغة JAVA,  الدوال في لغة JAVA,  التكرار في لغة JAVA,  الاستثناءات في لغة JAVA,  مشروع برمجي"
مقدمة في Object Oriented Programming (OOP),للتعرف على أهم مفاهيم البرمجة الكائنية، وأهميتها في عالم البرمجة دون التطرق لأي لغة معينة.,"التعرف على أهمية مفهوم OOP في عالم البرمجة., التعرف على مفاهيم Class و Object ومدى أهميتهما., التعرف على مفهوم Inheritance، وهو أحد المفاهيم المتعلقة بمفهوم OOP., التعرف على مفهوم Abstraction، وهو أحد المفاهيم المتعلقة بمفهوم OOP., التعرف على مفهوم Encapsulation، وهو أحد المفاهيم المتعلقة بمفهوم OOP., التعرف على مفهوم Polymorphism، وهو أحد المفاهيم المتعلقة بمفهوم OOP.",متوسط,ساعتان,120 دقيقة تدريبية,7  اختبارات,no,"مقدمة عن الدورة,  مقدمة في مفهوم OOP,  مقدمة في مفهوم Class و Object,  مبادئ مفهوم OOP,  مقدمة في مفهوم Inheritance,  مقدمة في مفهوم Abstraction,  مقدمة في مفهوم Encapsulation,  مقدمة في مفهوم Polymorphism"
JAVA 101,تهدف الدورة للتعرف على أساسيات لغة JAVA، وما هي مميزاتها وكيفية استخداماتها.,"التعرف على أنواع البيانات في JAVA, التعرف على أهم المعاملات في JAVA, التعرف على الشروط في JAVA",مبتدئ,ساعتان,120 دقيقة تدريبية,5  اختبارات,no,"مقدمة عن لغة JAVA,  تعريف عن الدورة ومتطلباتها,  مدخل للغة JAVA,  تعريف البيانات في JAVA,  المعاملات في JAVA,  الشروط في JAVA,  مشروع برمجي"
مقدمة في البرمجة Intro to Programming,للتعرف على المفاهيم الأساسية في البرمجة عامةً دون التطرق إلى أي لغة برمجية على نحو خاص، حيث ستسهل عليك معلومات هذه الدورة تعلم  أي لغة برمجية بشكل سريع وسلس.,"التعرف على المفاهيم الأساسية في تنفيذ أوامر البرنامج., التعرف على مفهوم البيانات والعمليات., التعرف على المفاهيم الأساسية في البرمجة. مثل: المتغيرات، الثوابت، المصفوفات، التكرار، الشروط، والدوال.",مبتدئ,3  ساعات,180 دقيقة تدريبية,10  اختبار,no,"مقدمة عن الدورة,  مقدمة عن البرمجة,  مفهوم المتغيرات | Variables,  مفهوم الثوابت | Constant,  مفهوم التعليقات | Comments,  أنواع البيانات | Data Types,  مفهوم العمليات | Operators,  مفهوم الشروط | Conditions,  مفهوم التكرار | Loops,  مفهوم المصفوفة | Array,  مفهوم الدوال | Functions,  المشروع النهائي"
Unity 101,في هذه الدورة ستتعلم كيفية تحميل وتثبيت بيئة Unity، بالإضافة إلى أساسيات التعامل مع بيئة وأجزاء Unity.,"التعرف على Unity, تحميل وتثبيت Unity, التعرف على واجهة Unity, التعامل مع Objects في بيئة Unity",مبتدئ,ساعتان,120 دقيقة تدريبية,اختباران,مشروع واحد,"مقدمة الدورة,  تجهيز البيئة,  التعرف على واجهة Unity,  التعامل مع Objects,  نصائح مُساعِدة,  مشاريع تطبيقية مُساعِدة,  مشروع"
JSON 101,يهدف البرنامج إلى التعرف على صيغة ال  JSON، وأهمية استخدامها وما هي أنواع البيانات التي توجد فيها.,"التعرف على صيغة JSON, التعرف على أهم الاستخدامات لـ JSON, التعرف على أنواع البيانات في JSON",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,مشروع واحد,"تثبيت برنامج Visual Studio Code,  مقدمة في JSON,  ما هو JSON ؟,  أبدا مع JSON,  أنواع البيانات في JSON,  مقدمة في ال JSON Schema,  مشروع تطبيقي"
C++ 104,تهدف الدورة إلى التعرف على أهمية Arrays واستخداماتها، وكيفية الوصول للقيم في الذاكرة عن طريق Pointers.,"التعرف على Arrays وكيفية استخدامها, التعرف على أهمية استخدام Pointers وكيفية حفظ عناوين المتغيرات في الذاكرة, التعرف على References وكيفية استخدامها",متوسط,3  ساعات,180 دقيقة تدريبية,3  اختبارات,no,"مقدمة في Arrays,  مقدمة في Pointers,  مقدمة في References,  تمارين عملية"
CI/CD 102,ستتعلم في هذه الدورة على مفاهيم أساسية في CI/CD. مثل كيفية ترجمة وتوضيح فوائد و مميزات CI/CD للأشخاص غير التقنيين. بالإضافة الى آلية تصميم وبناء CI/CD Pipeline.,"ترجمة مميزات CI/CD لغير التقنيين (Business Minded) من جانب رفع العوائد المالية، المحافظة على ميزانية المشروع و خفض التكاليف., أفضل الممارسات Best Practice لتنفيذ CI/CD., آلية تصميم وبناء CI/CD Pipeline.",مبتدئ,ساعة واحدة,60 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في الدورة,  ترجمة مميزات CI/CD لغير التقنيين | Business Minded,  آلية تصميم CI/CD Pipeline,  مفاهيم ومصطلحات مهمة في CI/CD,  تمارين اضافية | Concept based Exercises"
C++ 103,يهدف البرنامج إلى التعرف على functions وأهميتها وكيفية استخدامها، والتعرف على النوع string واستخداماته، بالإضافة إلى النطاق لتعريف المتغيرات.,"التعرف على كيفية التعامل مع الدوال Functions, التعرف على كيفية استخدام Strings مع المعاملات, التعرف على مفهوم Local Scope و Block Scope",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"التعامل مع Functions,  مقدمة في Strings,  مقدمة في Scopes,  تمارين عملية"
CI/CD 101,تهدف الدورة للتعرف على أساسيات مفهوم CI/CD، بالإضافة إلى فوائد تطبيق مفهوم CI/CD في تسريع عمل الفريق البرمجي.,"التعرف على طبيعة تطوير البرامج دون تطبيق مفهوم CI/CD., التعرف على فائدة ومفهوم Continuous Integration و Continuous Deployment., التعرف على مفاهيم أساسية في CI/CD، قبل البدء في تطبيقه على المشاريع البرمجية.",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في مفهوم CI/CD,  قبل وبعد CI/CD,  الاستعداد لتطبيق مفهوم CI/CD على المشاريع البرمجية,  تمارين اضافية"
C++ 102,يهدف البرنامج إلى التعرف على أساسيات المعاملات، مثل العمليات الحسابية والعمليات المنطقية وعمليات المقارنة، والتعرف على جمل الاختيار if statement ،switch statement، بالإضافة إلى جمل التكرار iteration statement، مثل for loop ،While loop.,"التعرف على المعاملات وأنواعها, التعرف على مقدمة في selection statement, التعرف على مقدمة في iteration statement",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة في المعاملات,  مقدمة في selection statement,  مقدمة في iteration statement,  تمارين عملية"
PHP OOP 104,يهدف البرنامج للتعرف على عدد من مواضيع Object Oriented Programming، وما هي طرق تنفيذها في لغة PHP، كما سيتم التعرف على الدوال المستخدمة وغيرها من المفاهيم.,"مقدمة في Object Oriented Programming, مفهوم Class و Object, مفهوم Traits, مقدمة في Magic Methods",متوسط,3  ساعات,180 دقيقة تدريبية,7  اختبارات,no,"مقدمة عن الدورة,  مقدمة في Class,  مقدمة في Object,  مقدمة في Inheritance,  مقدمة في Abstract,  مقدمة في Traits,  مقدمة في Magic Methods,  Functions المستخدمة مع OOP"
Dart 103,يهدف البرنامج للتعرف على العديد من الدوال التي تمكن من التعامل مع القوائم أو ما تسمي Lists في لغة Dart.,"الإضافة والحذف من القوائم Lists, الوصول إلى عناصر القائمة List, إجراء العمليات على القوائم Lists",متوسط,ساعتان,120 دقيقة تدريبية,no,no,"مقدمة الدورة,  الإضافة والحذف من القائمة,  الوصول لعناصر القائمة,  إجراء عمليات على القائمة"
C++ 101,ستتعلم في هذه الدورة عن أساسيات لغة ++C واستخداماتها، وأهم البرامج المستخدمة فيها وكيفية التعامل مع أنواع البيانات.,"المفاهيم الأساسية المتعلقة بلغة ++C, أهمية لغة ++C واستخداماتها, أهم البرامج والأدوات المستخدمة فيها",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة في ++C,  تثبيت برنامج Visual Studio Code,  الأدوات والبرامج المستخدمة,  ابدأ مع ++C,  مقدمة في المتغيرات والثوابت,  أنواع البيانات"
Dart 102,يهدف البرنامج للتعرف على الدوال Functions في لغة Dart بالإضافة للعديد من دوال built-in الخاصة بلغة Dart.,"التعرف على مفهوم الدوال في لغة Dart, التعرف على أنواع الدوال built-in في لغة Dart, التعرف على الدوال الأساسية في لغة Dart",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة الدورة,  دوال أساسية,  دوال user-defined,  أمثلة على دوال built-in | دوال التعامل مع التاريخ والأرقام"
PHP Array 103,يهدف البرنامج للتعرف على أساسيات Array في لغة PHP، يشمل على أنواع Array وطريقة تعريفها، وما هي الدوال المستخدمة.,"مقدمة في مفهوم Array, أنواع Array, ما هي الدوال المستخدمة مع Array",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروعان,"مقدمة في Array,  مقدمة عن Associative Array,  Functions المستخدمة مع Array,  المشروع النهائي"
Unit Test 102,في هذه الدورة ستتعلم مفاهيم متقدمة في Unit Test Life Cycle وماهي شروط عمل الاختبار وكيفية استخدام pattern لكتابة Unit Test بالإضافة إلى مفهوم Assertions وأنواعه لإجراء الاختبار والتحقق من القيم.,"مفهوم Unit Test Life Cycle, شروط عمل الاختبار, استخدام Pattern لكتابة Unit Test, مفهوم Assertions وأنواعه",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروع واحد,"متطلبات الدورة,  مفهوم Unit Test Life Cycle,  خطوات كتابة Unit Test,  مقدمة في Assertions,  المشروع"
PHP Functions 102,يهدف البرنامج إلى التعرف على طرق التعامل مع Functions وما هي أنواعها، كما يهدف للتعرف على العديد من المفاهيم الأساسية في لغة PHP.,"التعرف على مقدمة في مفهوم Functions, التعرف على جميع أنواع Functions, التعرف على Functions الموجودة في اللغة",مبتدئ,ساعتان,120 دقيقة تدريبية,4  اختبارات,no,"مقدمة في Functions,  مقدمة في User built-in Functions,  دوال التعامل مع النصوص | String Functions,  دوال التعامل مع الارقام | Numbers Functions,  دوال التعامل مع التاريخ | Date Functions"
PHP Basics 101,سنتعرف في هذهِ الدورة على أساسيات المفاهيم البرمجيّة في لغة PHP مثل المتغيرات والثوابت والشروط والتكرار وغيرها من المفاهيم.,"مقدمة عن لغة PHP وطريقة تنزيها, مقدمة في المتغيرات والثوابت والتعليقات, مقدمة في الشروط والتكرار",مبتدئ,3  ساعات,180 دقيقة تدريبية,5  اختبارات,no,"مقدمة في PHP,  أساسيات PHP,  مقدمة في المتغيرات والثوابت,  مقدمة في أنواع البيانات والمعاملات,  مقدمة في Conditions,  مقدمة في Loops"
Unit Test 101,يهدف البرنامج للتعرف على أساسيات Unit Test، وأهمية إنشاء الاختبار عند عمل المشروع وأنواع وخصائص Software Testing، كما يهدف كذلك إلى التعرف على كيفية طريقة تجهيز بيئة الاختبار.,"التعرف على أهمية Unit Test, التعرف على خصائص وأنواع Unit Test, التعرف على كيفية إنشاء بيئة Testing",مبتدئ,ساعة واحدة,60 دقيقة تدريبية,3  اختبارات,no,"مقدمة في Unit Test,  مقدمة في Software Testing,  تجهيز بيئة الاختبار"
Code Documentation 102,في هذه الدورة ستتعرف على كيفية إضافة وصف Documentation عند كتابة الكود، كما ستتعرف على الفروقات بين الأنواع المتعدد لإضافة الوصف، واضافة الخصائص الإضافية عند كتابة مثل Notes و side bar وغيرها.,"كيفية كتابة وصف Documentation, التعرف على طرق إضافة الوصف المتعددة, طريقة إضافة خصائص Tags",متوسط,3  ساعات,180 دقيقة تدريبية,اختباران,مشروع واحد,"متطلبات الدورة,  مقدمة في Description,  إنشاء الوصف المختصر والمفصل,  التعامل مع Tags,  التعامل مع الدوال | Functions,  المشروع"
Code Documentation 101,في هذه الدورة ستتعلم مفهوم Code Documentation وكيفية شرح الكود الذي تقوم بكتابته في البرنامج، وماهي البرامج المخصصة لذلك، كما ستتعرف على Special Comments وأنواعها وطريقة إنشاء Documentation للبرنامج.,"مفهوم Code Documentation., معرفة أنواع Documentation Generators., كيفية استخدام Comment Block.",مبتدئ,ساعتان,120 دقيقة تدريبية,اختباران,مشروع واحد,"متطلبات الدورة,  مقدمة في Code Documentation,  أمثلة على Code Documentation,  تحميل برنامج Doxygen,  التعامل مع Comment Block,  كيفية استخدام برنامج Doxygen,  المشروع"
Secure Shell (SSH) 102,تعرف في هذه الدورة على مفاهيم متقدمة في SSH مثل طرق استعمالات بروتكول SSH وكيفية تسجيل الدخول الآمن وطرق استعمال مصادر جهاز آخر عن بعد.,"الدخول الآمن لخادم أو جهاز آخر عن بعد, كتابة أوامر على جهاز آخر بأمان, نقل الملفات بأمان, التحقق من هوية المستخدم باستعمال Keys",متوسط,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"مقدمة الدورة,  تسجيل الدخول الآمن | Secure Remote Login,  كتابة أوامر على جهاز آخر بأمان,  نقل الملفات بأمان,  الخاتمة"
GitHub Actions 102,تهدف هذه الدورة للتعرف على مواضيع متقدمة في GitHub Actions، مثل التعرف على عدد من الأنواع الآخرة من Keys، وكيفية طريقة إنشاء متغيرات وغيرها من المواضيع.,"التعرف على طريقة اعتماد Job على Job أخرى, التعرف على كيفية إنشاء متغير واستدعائه في ملف Workflow, التعرف على كيفية إنشاء Secrets واستدعائه في ملف Workflow",متقدم,ساعتان,120 دقيقة تدريبية,3  اختبارات,no,"متطلبات الدورة,  أنواع آخرى من Keys,  مقدمة في Variables,  مقدمة في Secrets"
بناء Node Package,يهدف البرنامج إلى التعرف على آلية بناء ونشر Package على منصة npm.js، بالإضافة إلى معرفة المتطلبات والاحتياجات اللازمة قبل البدء في بناء Node Package.,"التعرف على آلية بناء Package, التعرف على آلية رفع Package على Package Registry, التعرف على آلية تحديث Package الخاص بك على Package Registry",متوسط,ساعة واحدة,60 دقيقة تدريبية,اختبار واحد,no,"تجهيز البيئة,  بناء Node Package,  المشروع | Project"
Secure Shell (SSH) 101,في هذه الدورة ستتعرف على مفهوم بروتكول SSH لأمن الشبكات، كما ستتعرف على الاستعمالات الشائعة لهذا البروتوكول.,"الأخطار الشائعة في الشبكة, مفاهيم لأمن الشبكة, مفهوم Secure Shell, استعمالات بروتكول ssh",مبتدئ,ساعة واحدة,60 دقيقة تدريبية,3  اختبارات,no,"مقدمة الدورة,  أمن الشبكات,  مفهوم Secure Shell,  استعمالات بروتكول ssh"
Packaging and Dependency 101,ستتعرف في هذه الدورة على عدة مفاهيم فيما يخص Packaging and Dependency مثل مفهوم Package، ماذا يحتوي ولماذا يتم استخدامه بالإضافة إلى مفاهيم مثل Package Manager و Dependencies وغيرها.,"مفهوم Package بالإضافة إلى فوائد Package وأنواعه., مفهوم Dependency أو اعتمادية Packages على بعضها البعض., مفهوم Package Manager في إدارة Packages.",مبتدئ,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة في مفهوم Package,  مفهوم Dependency,  مفهوم Package Manager,  مشروع | Project"
Github Actions 101,تهدف الدورة للتعرف على Github Actions، وكيفية إنشاء Workflow، ومعرفة ما هي المفاهيم الخاصة بـ Github Actions.,"التعرف على Github Actions, التعرف على مكونات Github Actions, إنشاء Github Actions",متوسط,ساعتان,120 دقيقة تدريبية,اختباران,no,"مقدمة عن الدورة,  مقدمة عن GitHub Action,  المفاهيم الأساسية,  مثال تطبيقي"
Open Source 104,في هذه الدورة ستتعرف على كيفية انشاء مشروع open source خطوة بخطوة، بالإضافة الى توجيهات لتحسين جودة المشروع.,"توجيهات قبل البدء بانشاء مشروع open source, كيفية انشاء مشروع open source, توجيهات للتحسين من جودة مشروعك",متقدم,3  ساعات,180 دقيقة تدريبية,no,no,"مقدمة الدورة,  متطلبات إنشاء المشروع,  إنشاء مشروع مفتوح المصدر,  تحسين جودة مشروعك مفتوح المصدر,  الخاتمة"
Bash 106,ستتعرف في هذه الدورة على عدة مفاهيم فيما يخص التعامل مع النصوص ومدخلات المستخدم Options بداخل Bash Scripting.,"طريقة استقبال Options من المستخدم بداخل Bash Script., مفهوم String Operators للتحقق من قيم المتغيرات., مفهوم File Operators للتحقق من خصائص الملفات.",متقدم,ساعتان,120 دقيقة تدريبية,3  اختبارات,مشروع واحد,"مقدمة | Intro,  التعامل مع Options,  مفهوم String Operators,  مفهوم File Operators,  المشروع | Project"
Open Source 103,تهدف Open Source 103 إلى تعزيز المعرفة لدى المتدرب على ما يمكن فعله بعد الأداء والمساهمة في مشاريع Open Source، والتعرف على بعض الحالات الاستثنائية وكيفية التعامل معها.,"ما يمكن فعله بعد الأداء والمساهمة, كيفية التعامل معها بعض الحالات الاستثنائية, كيفية الخروج من مجتمع مشروع مفتوح المصدر",متوسط,ساعتان,120 دقيقة تدريبية,no,no,"مقدمة الدورة,  ماذا بعد تسليم المساهمة؟,  حالات خاصة مع المشاريع مفتوحة المصدر,  الخروج من مجتمع مشروع مفتوح المصدر,  الخاتمة"
Lint,تُعرف هذهِ الدورة بـ Lint، وهو عبارة عن طريقة أو أداة تساعد في تحسين الأكواد؛ كما نتعرف من خلال الدورة على مفهوم (rules)، والتطبيق العملي على (ESlint) الخاص بلغة JavaScript.,"التعرف على أداة Lint, التعرف على مفهوم rules, التعرف على طريقة استخدام ESlint",مبتدئ,ساعتان,120 دقيقة تدريبية,اختباران,مشروع واحد,"مقدمة في الدورة,  مقدمة في Lint,  مقدمة في eslint,  مشروع نهائي"
